episode,reward
1,8.0
2,22.0
3,17.0
4,30.0
5,19.0
6,12.0
7,25.0
8,25.0
9,12.0
10,18.0
11,16.0
12,13.0
13,14.0
14,31.0
15,9.0
16,31.0
17,49.0
18,15.0
19,15.0
20,29.0
21,19.0
22,18.0
23,26.0
24,12.0
25,20.0
26,16.0
27,16.0
28,40.0
29,37.0
30,17.0
31,21.0
32,33.0
33,13.0
34,29.0
35,15.0
36,12.0
37,24.0
38,20.0
39,53.0
40,16.0
41,26.0
42,19.0
43,13.0
44,18.0
45,21.0
46,39.0
47,16.0
48,57.0
49,17.0
50,31.0
51,69.0
52,22.0
53,13.0
54,16.0
55,41.0
56,23.0
57,11.0
58,17.0
59,18.0
60,13.0
61,13.0
62,29.0
63,18.0
64,16.0
65,10.0
66,14.0
67,14.0
68,17.0
69,13.0
70,26.0
71,17.0
72,16.0
73,11.0
74,64.0
75,20.0
76,19.0
77,23.0
78,11.0
79,11.0
80,13.0
81,35.0
82,30.0
83,9.0
84,30.0
85,38.0
86,30.0
87,57.0
88,10.0
89,16.0
90,17.0
91,29.0
92,60.0
93,20.0
94,33.0
95,17.0
96,11.0
97,16.0
98,17.0
99,32.0
100,18.0
101,14.0
102,16.0
103,36.0
104,48.0
105,58.0
106,11.0
107,14.0
108,30.0
109,13.0
110,14.0
111,11.0
112,51.0
113,16.0
114,26.0
115,29.0
116,20.0
117,13.0
118,23.0
119,13.0
120,21.0
121,17.0
122,19.0
123,16.0
124,12.0
125,14.0
126,11.0
127,21.0
128,9.0
129,13.0
130,33.0
131,73.0
132,31.0
133,25.0
134,22.0
135,12.0
136,61.0
137,10.0
138,9.0
139,13.0
140,15.0
141,18.0
142,17.0
143,37.0
144,25.0
145,15.0
146,24.0
147,13.0
148,16.0
149,16.0
150,13.0
151,11.0
152,19.0
153,11.0
154,72.0
155,16.0
156,11.0
157,20.0
158,68.0
159,18.0
160,24.0
161,19.0
162,14.0
163,16.0
164,19.0
165,12.0
166,19.0
167,61.0
168,26.0
169,17.0
170,31.0
171,20.0
172,10.0
173,21.0
174,16.0
175,36.0
176,24.0
177,13.0
178,10.0
179,12.0
180,13.0
181,9.0
182,26.0
183,20.0
184,11.0
185,17.0
186,27.0
187,27.0
188,25.0
189,16.0
190,15.0
191,18.0
192,22.0
193,21.0
194,15.0
195,25.0
196,14.0
197,23.0
198,17.0
199,22.0
200,18.0
201,22.0
202,16.0
203,20.0
204,17.0
205,27.0
206,14.0
207,18.0
208,24.0
209,17.0
210,20.0
211,22.0
212,32.0
213,14.0
214,22.0
215,25.0
216,23.0
217,16.0
218,34.0
219,18.0
220,18.0
221,17.0
222,25.0
223,14.0
224,18.0
225,14.0
226,30.0
227,35.0
228,15.0
229,25.0
230,17.0
231,16.0
232,12.0
233,15.0
234,16.0
235,12.0
236,10.0
237,12.0
238,30.0
239,10.0
240,11.0
241,14.0
242,16.0
243,25.0
244,18.0
245,23.0
246,10.0
247,18.0
248,9.0
249,20.0
250,11.0
251,16.0
252,15.0
253,10.0
254,16.0
255,12.0
256,11.0
257,14.0
258,38.0
259,13.0
260,23.0
261,25.0
262,14.0
263,18.0
264,38.0
265,25.0
266,12.0
267,41.0
268,21.0
269,10.0
270,44.0
271,45.0
272,46.0
273,70.0
274,11.0
275,16.0
276,29.0
277,15.0
278,29.0
279,83.0
280,30.0
281,61.0
282,14.0
283,29.0
284,34.0
285,19.0
286,65.0
287,17.0
288,45.0
289,78.0
290,71.0
291,33.0
292,56.0
293,17.0
294,54.0
295,45.0
296,23.0
297,19.0
298,80.0
299,95.0
300,13.0
301,26.0
302,41.0
303,63.0
304,27.0
305,14.0
306,29.0
307,27.0
308,30.0
309,107.0
310,86.0
311,12.0
312,35.0
313,17.0
314,72.0
315,26.0
316,33.0
317,77.0
318,16.0
319,27.0
320,35.0
321,91.0
322,43.0
323,17.0
324,19.0
325,22.0
326,71.0
327,18.0
328,32.0
329,26.0
330,35.0
331,19.0
332,71.0
333,102.0
334,42.0
335,35.0
336,14.0
337,116.0
338,102.0
339,63.0
340,33.0
341,18.0
342,30.0
343,14.0
344,144.0
345,13.0
346,22.0
347,78.0
348,56.0
349,118.0
350,71.0
351,95.0
352,20.0
353,45.0
354,22.0
355,15.0
356,16.0
357,16.0
358,11.0
359,45.0
360,17.0
361,170.0
362,17.0
363,132.0
364,14.0
365,12.0
366,33.0
367,20.0
368,18.0
369,13.0
370,45.0
371,19.0
372,15.0
373,23.0
374,14.0
375,10.0
376,9.0
377,29.0
378,104.0
379,20.0
380,25.0
381,22.0
382,115.0
383,101.0
384,174.0
385,17.0
386,105.0
387,11.0
388,13.0
389,11.0
390,11.0
391,32.0
392,21.0
393,9.0
394,12.0
395,15.0
396,20.0
397,14.0
398,18.0
399,21.0
400,99.0
401,138.0
402,68.0
403,50.0
404,119.0
405,19.0
406,15.0
407,184.0
408,15.0
409,11.0
410,72.0
411,57.0
412,13.0
413,12.0
414,106.0
415,13.0
416,109.0
417,10.0
418,164.0
419,19.0
420,14.0
421,74.0
422,105.0
423,9.0
424,51.0
425,17.0
426,9.0
427,167.0
428,13.0
429,64.0
430,186.0
431,18.0
432,13.0
433,16.0
434,84.0
435,40.0
436,94.0
437,14.0
438,19.0
439,88.0
440,14.0
441,34.0
442,14.0
443,50.0
444,12.0
445,106.0
446,120.0
447,76.0
448,85.0
449,17.0
450,13.0
451,15.0
452,12.0
453,140.0
454,70.0
455,72.0
456,30.0
457,272.0
458,112.0
459,36.0
460,90.0
461,181.0
462,235.0
463,188.0
464,77.0
465,389.0
466,130.0
467,324.0
468,198.0
469,228.0
470,500.0
471,17.0
472,500.0
473,168.0
474,347.0
475,219.0
476,176.0
477,179.0
478,189.0
479,247.0
480,202.0
481,298.0
482,200.0
483,23.0
484,204.0
485,150.0
486,136.0
487,306.0
488,125.0
489,151.0
490,304.0
491,149.0
492,54.0
493,163.0
494,120.0
495,133.0
496,119.0
497,255.0
498,138.0
499,126.0
500,115.0
501,172.0
502,118.0
503,111.0
504,110.0
505,122.0
506,108.0
507,117.0
508,118.0
509,110.0
510,118.0
511,118.0
512,111.0
513,169.0
514,123.0
515,168.0
516,129.0
517,117.0
518,11.0
519,126.0
520,113.0
521,115.0
522,106.0
523,120.0
524,110.0
525,120.0
526,115.0
527,116.0
528,111.0
529,130.0
530,110.0
531,104.0
532,108.0
533,112.0
534,112.0
535,105.0
536,112.0
537,123.0
538,117.0
539,123.0
540,113.0
541,34.0
542,115.0
543,105.0
544,104.0
545,119.0
546,110.0
547,103.0
548,102.0
549,104.0
550,117.0
551,116.0
552,103.0
553,107.0
554,102.0
555,108.0
556,109.0
557,111.0
558,13.0
559,107.0
560,106.0
561,107.0
562,103.0
563,120.0
564,111.0
565,114.0
566,102.0
567,121.0
568,109.0
569,167.0
570,110.0
571,113.0
572,104.0
573,153.0
574,118.0
575,122.0
576,133.0
577,130.0
578,111.0
579,113.0
580,108.0
581,95.0
582,103.0
583,88.0
584,99.0
585,91.0
586,95.0
587,35.0
588,107.0
589,90.0
590,10.0
591,90.0
592,87.0
593,89.0
594,92.0
595,86.0
596,92.0
597,14.0
598,91.0
599,92.0
600,94.0
601,86.0
602,90.0
603,90.0
604,89.0
605,85.0
606,88.0
607,92.0
608,90.0
609,93.0
610,90.0
611,88.0
612,40.0
613,93.0
614,88.0
615,91.0
616,94.0
617,89.0
618,89.0
619,91.0
620,94.0
621,87.0
622,90.0
623,10.0
624,89.0
625,92.0
626,93.0
627,92.0
628,48.0
629,90.0
630,97.0
631,27.0
632,93.0
633,92.0
634,91.0
635,88.0
636,92.0
637,89.0
638,86.0
639,16.0
640,94.0
641,89.0
642,95.0
643,92.0
644,89.0
645,90.0
646,91.0
647,89.0
648,89.0
649,92.0
650,90.0
651,87.0
652,92.0
653,89.0
654,94.0
655,89.0
656,93.0
657,91.0
658,95.0
659,95.0
660,99.0
661,92.0
662,92.0
663,96.0
664,91.0
665,91.0
666,91.0
667,97.0
668,93.0
669,93.0
670,98.0
671,90.0
672,94.0
673,90.0
674,95.0
675,98.0
676,93.0
677,96.0
678,97.0
679,93.0
680,97.0
681,96.0
682,93.0
683,98.0
684,96.0
685,94.0
686,70.0
687,104.0
688,103.0
689,97.0
690,104.0
691,96.0
692,101.0
693,103.0
694,105.0
695,105.0
696,99.0
697,107.0
698,100.0
699,101.0
700,101.0
701,105.0
702,99.0
703,106.0
704,105.0
705,111.0
706,98.0
707,104.0
708,103.0
709,108.0
710,104.0
711,109.0
712,120.0
713,118.0
714,113.0
715,122.0
716,116.0
717,123.0
718,135.0
719,11.0
720,136.0
721,131.0
722,151.0
723,500.0
724,16.0
725,500.0
726,500.0
727,500.0
728,500.0
729,500.0
730,500.0
731,500.0
732,500.0
733,500.0
734,500.0
735,500.0
736,500.0
737,296.0
738,303.0
739,306.0
740,279.0
741,295.0
742,269.0
743,273.0
744,280.0
745,254.0
746,241.0
747,287.0
748,297.0
749,234.0
750,235.0
751,246.0
752,500.0
753,183.0
754,481.0
755,500.0
756,453.0
757,146.0
758,500.0
759,500.0
760,500.0
761,500.0
762,500.0
763,418.0
764,500.0
765,341.0
766,500.0
767,500.0
768,500.0
769,500.0
770,500.0
771,500.0
772,500.0
773,500.0
774,500.0
775,405.0
776,384.0
777,428.0
778,371.0
779,460.0
780,500.0
781,500.0
782,500.0
783,436.0
784,500.0
785,500.0
786,500.0
787,500.0
788,500.0
789,500.0
790,500.0
791,500.0
792,500.0
793,500.0
794,500.0
795,500.0
796,500.0
797,500.0
798,500.0
799,500.0
800,500.0
