episode,reward
1,8.0
2,22.0
3,17.0
4,30.0
5,19.0
6,12.0
7,25.0
8,25.0
9,12.0
10,18.0
11,16.0
12,13.0
13,14.0
14,31.0
15,9.0
16,31.0
17,49.0
18,15.0
19,15.0
20,29.0
21,19.0
22,18.0
23,26.0
24,12.0
25,20.0
26,16.0
27,16.0
28,40.0
29,37.0
30,17.0
31,21.0
32,33.0
33,13.0
34,29.0
35,15.0
36,12.0
37,24.0
38,20.0
39,53.0
40,16.0
41,26.0
42,19.0
43,13.0
44,18.0
45,21.0
46,39.0
47,16.0
48,57.0
49,17.0
50,31.0
51,69.0
52,22.0
53,13.0
54,16.0
55,41.0
56,23.0
57,11.0
58,17.0
59,18.0
60,13.0
61,13.0
62,29.0
63,18.0
64,16.0
65,10.0
66,14.0
67,14.0
68,17.0
69,13.0
70,26.0
71,17.0
72,16.0
73,11.0
74,64.0
75,20.0
76,19.0
77,23.0
78,11.0
79,11.0
80,13.0
81,35.0
82,30.0
83,9.0
84,30.0
85,38.0
86,30.0
87,57.0
88,10.0
89,16.0
90,17.0
91,29.0
92,60.0
93,20.0
94,33.0
95,17.0
96,11.0
97,16.0
98,17.0
99,32.0
100,18.0
101,14.0
102,16.0
103,36.0
104,48.0
105,58.0
106,11.0
107,14.0
108,30.0
109,13.0
110,14.0
111,11.0
112,51.0
113,16.0
114,26.0
115,29.0
116,20.0
117,13.0
118,23.0
119,13.0
120,21.0
121,17.0
122,19.0
123,16.0
124,12.0
125,14.0
126,11.0
127,21.0
128,9.0
129,13.0
130,33.0
131,73.0
132,31.0
133,25.0
134,22.0
135,12.0
136,61.0
137,10.0
138,9.0
139,13.0
140,15.0
141,18.0
142,17.0
143,37.0
144,25.0
145,15.0
146,24.0
147,13.0
148,16.0
149,16.0
150,13.0
151,11.0
152,19.0
153,11.0
154,72.0
155,16.0
156,11.0
157,20.0
158,68.0
159,18.0
160,24.0
161,19.0
162,14.0
163,16.0
164,19.0
165,12.0
166,19.0
167,61.0
168,26.0
169,17.0
170,31.0
171,20.0
172,10.0
173,21.0
174,16.0
175,36.0
176,24.0
177,13.0
178,10.0
179,12.0
180,13.0
181,9.0
182,26.0
183,20.0
184,11.0
185,17.0
186,27.0
187,27.0
188,25.0
189,16.0
190,15.0
191,18.0
192,22.0
193,21.0
194,15.0
195,25.0
196,14.0
197,23.0
198,17.0
199,22.0
200,18.0
201,22.0
202,16.0
203,20.0
204,17.0
205,27.0
206,14.0
207,18.0
208,24.0
209,17.0
210,20.0
211,22.0
212,32.0
213,14.0
214,22.0
215,25.0
216,23.0
217,16.0
218,34.0
219,18.0
220,18.0
221,17.0
222,25.0
223,14.0
224,18.0
225,14.0
226,30.0
227,53.0
228,23.0
229,17.0
230,13.0
231,10.0
232,25.0
233,19.0
234,16.0
235,12.0
236,52.0
237,21.0
238,28.0
239,15.0
240,35.0
241,20.0
242,17.0
243,11.0
244,29.0
245,10.0
246,14.0
247,18.0
248,12.0
249,18.0
250,32.0
251,23.0
252,27.0
253,23.0
254,14.0
255,24.0
256,11.0
257,19.0
258,29.0
259,10.0
260,24.0
261,20.0
262,18.0
263,12.0
264,30.0
265,25.0
266,20.0
267,20.0
268,11.0
269,16.0
270,13.0
271,17.0
272,16.0
273,21.0
274,35.0
275,13.0
276,31.0
277,27.0
278,56.0
279,9.0
280,25.0
281,25.0
282,38.0
283,12.0
284,52.0
285,25.0
286,11.0
287,28.0
288,12.0
289,18.0
290,18.0
291,31.0
292,25.0
293,62.0
294,25.0
295,62.0
296,44.0
297,17.0
298,16.0
299,20.0
300,47.0
301,30.0
302,97.0
303,26.0
304,25.0
305,51.0
306,42.0
307,118.0
308,39.0
309,90.0
310,58.0
311,24.0
312,9.0
313,34.0
314,23.0
315,18.0
316,29.0
317,12.0
318,48.0
319,85.0
320,40.0
321,75.0
322,21.0
323,24.0
324,32.0
325,35.0
326,12.0
327,61.0
328,12.0
329,124.0
330,39.0
331,33.0
332,35.0
333,76.0
334,50.0
335,71.0
336,12.0
337,28.0
338,62.0
339,101.0
340,60.0
341,20.0
342,51.0
343,15.0
344,14.0
345,57.0
346,77.0
347,54.0
348,37.0
349,44.0
350,71.0
351,150.0
352,55.0
353,44.0
354,38.0
355,20.0
356,49.0
357,42.0
358,35.0
359,53.0
360,18.0
361,13.0
362,97.0
363,84.0
364,54.0
365,54.0
366,204.0
367,119.0
368,71.0
369,135.0
370,50.0
371,59.0
372,124.0
373,217.0
374,69.0
375,73.0
376,175.0
377,82.0
378,55.0
379,17.0
380,28.0
381,63.0
382,103.0
383,101.0
384,28.0
385,115.0
386,34.0
387,90.0
388,40.0
389,122.0
390,72.0
391,13.0
392,99.0
393,66.0
394,161.0
395,78.0
396,16.0
397,102.0
398,20.0
399,16.0
400,40.0
401,16.0
402,92.0
403,69.0
404,89.0
405,77.0
406,74.0
407,140.0
408,138.0
409,73.0
410,148.0
411,123.0
412,16.0
413,85.0
414,62.0
415,71.0
416,72.0
417,79.0
418,15.0
419,13.0
420,18.0
421,74.0
422,17.0
423,131.0
424,72.0
425,75.0
426,17.0
427,126.0
428,88.0
429,79.0
430,82.0
431,24.0
432,18.0
433,75.0
434,77.0
435,81.0
436,84.0
437,86.0
438,75.0
439,79.0
440,73.0
441,56.0
442,82.0
443,61.0
444,82.0
445,79.0
446,14.0
447,11.0
448,77.0
449,19.0
450,42.0
451,82.0
452,70.0
453,52.0
454,67.0
455,82.0
456,74.0
457,29.0
458,87.0
459,13.0
460,79.0
461,78.0
462,79.0
463,77.0
464,75.0
465,91.0
466,92.0
467,143.0
468,80.0
469,89.0
470,98.0
471,95.0
472,108.0
473,111.0
474,74.0
475,100.0
476,124.0
477,105.0
478,138.0
479,101.0
480,121.0
481,79.0
482,92.0
483,185.0
484,141.0
485,111.0
486,94.0
487,144.0
488,148.0
489,140.0
490,147.0
491,183.0
492,162.0
493,271.0
494,120.0
495,151.0
496,136.0
497,130.0
498,130.0
499,125.0
500,134.0
501,122.0
502,155.0
503,141.0
504,135.0
505,123.0
506,131.0
507,121.0
508,126.0
509,140.0
510,141.0
511,134.0
512,149.0
513,140.0
514,164.0
515,221.0
516,160.0
517,157.0
518,162.0
519,235.0
520,150.0
521,192.0
522,232.0
523,285.0
524,109.0
525,185.0
526,120.0
527,112.0
528,118.0
529,112.0
530,117.0
531,109.0
532,109.0
533,121.0
534,112.0
535,126.0
536,128.0
537,121.0
538,116.0
539,120.0
540,118.0
541,117.0
542,116.0
543,115.0
544,112.0
545,125.0
546,119.0
547,175.0
548,118.0
549,245.0
550,116.0
551,120.0
552,106.0
553,106.0
554,103.0
555,110.0
556,112.0
557,118.0
558,78.0
559,116.0
560,112.0
561,103.0
562,112.0
563,124.0
564,110.0
565,115.0
566,109.0
567,116.0
568,113.0
569,122.0
570,115.0
571,120.0
572,152.0
573,119.0
574,117.0
575,114.0
576,120.0
577,109.0
578,115.0
579,145.0
580,76.0
581,156.0
582,115.0
583,126.0
584,120.0
585,122.0
586,117.0
587,245.0
588,124.0
589,217.0
590,123.0
591,254.0
592,136.0
593,134.0
594,134.0
595,253.0
596,120.0
597,124.0
598,119.0
599,124.0
600,118.0
601,123.0
602,129.0
603,137.0
604,106.0
605,104.0
606,110.0
607,121.0
608,111.0
609,106.0
610,103.0
611,102.0
612,107.0
613,108.0
614,99.0
615,97.0
616,107.0
617,101.0
618,100.0
619,114.0
620,114.0
621,106.0
622,109.0
623,105.0
624,19.0
625,108.0
626,112.0
627,114.0
628,106.0
629,123.0
630,123.0
631,114.0
632,106.0
633,108.0
634,114.0
635,108.0
636,113.0
637,108.0
638,114.0
639,117.0
640,118.0
641,114.0
642,120.0
643,129.0
644,117.0
645,113.0
646,126.0
647,137.0
648,119.0
649,117.0
650,121.0
651,249.0
652,132.0
653,133.0
654,109.0
655,114.0
656,103.0
657,145.0
658,116.0
659,104.0
660,125.0
661,114.0
662,118.0
663,106.0
664,111.0
665,135.0
666,153.0
667,135.0
668,126.0
669,118.0
670,116.0
671,180.0
672,145.0
673,246.0
674,183.0
675,117.0
676,137.0
677,120.0
678,158.0
679,178.0
680,280.0
681,123.0
682,145.0
683,156.0
684,128.0
685,131.0
686,160.0
687,132.0
688,135.0
689,150.0
690,186.0
691,142.0
692,201.0
693,187.0
694,148.0
695,158.0
696,158.0
697,158.0
698,159.0
699,166.0
700,180.0
701,144.0
702,161.0
703,136.0
704,158.0
705,165.0
706,141.0
707,142.0
708,146.0
709,144.0
710,152.0
711,129.0
712,147.0
713,129.0
714,133.0
715,133.0
716,130.0
717,149.0
718,147.0
719,144.0
720,159.0
721,157.0
722,189.0
723,149.0
724,158.0
725,166.0
726,168.0
727,168.0
728,178.0
729,188.0
730,207.0
731,163.0
732,159.0
733,209.0
734,219.0
735,263.0
736,233.0
737,211.0
738,243.0
739,245.0
740,249.0
741,234.0
742,174.0
743,197.0
744,269.0
745,371.0
746,312.0
747,497.0
748,292.0
749,316.0
750,252.0
751,266.0
752,410.0
753,500.0
754,376.0
755,320.0
756,247.0
757,447.0
758,337.0
759,484.0
760,355.0
761,500.0
762,500.0
763,500.0
764,500.0
765,399.0
766,500.0
767,500.0
768,500.0
769,500.0
770,500.0
771,500.0
772,500.0
773,500.0
774,500.0
775,500.0
776,500.0
777,500.0
778,500.0
779,403.0
780,500.0
781,500.0
782,393.0
783,500.0
784,500.0
785,500.0
786,500.0
787,500.0
788,321.0
789,500.0
790,433.0
791,500.0
792,430.0
793,500.0
794,500.0
795,500.0
796,500.0
797,500.0
798,500.0
799,452.0
800,369.0
